tweet_id,timestamp,source,text,name,stages,jpg_url,p1,p1_conf,p2,p2_conf,p3,p3_conf,retweet_count,favorite_count,rating
890240255349198849,2017-07-26 15:59:51+00:00,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",This is Cassie. She is a college pup. Studying international doggo communication and stick theory. 14/10 so elegant much sophisticate https://t.co/t1bfwz5S2A,Cassie,doggo,https://pbs.twimg.com/media/DFrEyVuW0AAO3t9.jpg,Pembroke,0.511319,Cardigan,0.451038,Chihuahua,0.0292482,7711,32467,14/10
756526248105566208,2016-07-22 16:28:07+00:00,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",All hail sky doggo. 13/10 would jump super high to pet https://t.co/CsLRpqdeTF,,doggo,https://pbs.twimg.com/media/Cn-4m2CXYAErPGe.jpg,Geyser,0.991273,Volcano,0.00467251,Fountain,0.00123403,4169,11506,13/10
757393109802180609,2016-07-25 01:52:43+00:00,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",Here's a doggo completely oblivious to the double rainbow behind him. 10/10 someone tell him https://t.co/OfvRoD6ndV,,doggo,https://pbs.twimg.com/media/CoLNAq6WAAAkmdJ.jpg,Labrador_Retriever,0.787125,Chesapeake_Bay_Retriever,0.112676,Rottweiler,0.0480385999999999,2009,6462,10/10
758828659922702336,2016-07-29 00:57:05+00:00,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",This doggo is just waiting for someone to be proud of her and her accomplishment. 13/10 legendary af https://t.co/9T2h14yn4Q,,doggo,https://pbs.twimg.com/media/Cofmom_VUAA4dRO.jpg,Chesapeake_Bay_Retriever,0.480048,Vizsla,0.264522,Weimaraner,0.12184,4376,12376,13/10
759793422261743616,2016-07-31 16:50:42+00:00,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","Meet Maggie &amp; Lila. Maggie is the doggo, Lila is the pupper. They are sisters. Both 12/10 would pet at the same time https://t.co/MYwR4DQKll",Maggie,doggo,https://pbs.twimg.com/media/CotUFZEWcAA2Pku.jpg,Golden_Retriever,0.985876,Labrador_Retriever,0.00194777,Kuvasz,0.00175174,2173,6620,12/10
760893934457552897,2016-08-03 17:43:45+00:00,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",This is Wishes. He has the day off. Daily struggles of being a doggo have finally caught up with him. 11/10 https://t.co/H9YgrUkYwa,Wishes,doggo,https://pbs.twimg.com/media/Co88_ujWEAErCg7.jpg,Blenheim_Spaniel,0.113992,Cocker_Spaniel,0.10578,Borzoi,0.0739345,1104,4228,11/10
767191397493538821,2016-08-21 02:47:37+00:00,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",I don't know any of the backstory behind this picture but for some reason I'm crying. 13/10 for owner and doggo https://t.co/QOKZdus9TT,,doggo,https://pbs.twimg.com/media/CqWcgcqWcAI43jm.jpg,Patio,0.708665,Boathouse,0.110056,Pier,0.0395323,4406,13643,13/10
768193404517830656,2016-08-23 21:09:14+00:00,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",Meet Gerald. He's a fairly exotic doggo. Floofy af. Inadequate knees tho. Self conscious about large forehead. 8/10 https://t.co/WmczvjCWJq,Gerald,doggo,https://pbs.twimg.com/media/Cqkr0wiW8AAn2Oi.jpg,Lion,0.396984,Ram,0.300851,Cheetah,0.094474,4080,12157,8/10
775364825476165632,2016-09-12 16:05:54+00:00,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",This is Finley. He's an independent doggo still adjusting to life on his own. 11/10 https://t.co/7FNcBaKbci,Finley,doggo,https://pbs.twimg.com/media/CsKmMB2WAAAXcAy.jpg,Beagle,0.571229,Chihuahua,0.175257,Pembroke,0.0343063,3472,8295,11/10
775733305207554048,2016-09-13 16:30:07+00:00,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",This is Anakin. He strives to reach his full doggo potential. Born with blurry tail tho. 11/10 would still pet well https://t.co/9CcBSxCXXG,Anakin,doggo,https://pbs.twimg.com/media/CsP1UvaW8AExVSA.jpg,Long-Horned_Beetle,0.6138520000000001,Ox,0.0294728,Rhinoceros_Beetle,0.0278060999999999,4627,15413,11/10
